committee,name,party,rank,title,thomas,bioguide,chamber
HLIG,Devin Nunes,majority,1,Chair,01710,N000181,
HLIG,K. Michael Conaway,majority,2,,01805,C001062,
HLIG,Peter T. King,majority,3,,00635,K000210,
HLIG,Frank A. LoBiondo,majority,4,,00699,L000554,
HLIG,Thomas J. Rooney,majority,5,,01916,R000583,
HLIG,Ileana Ros-Lehtinen,majority,6,,00985,R000435,
HLIG,Michael R. Turner,majority,7,,01741,T000463,
HLIG,Brad R. Wenstrup,majority,8,,02152,W000815,
HLIG,Chris Stewart,majority,9,,02168,S001192,
HLIG,"Eric A. ""Rick"" Crawford",majority,10,,01989,C001087,
HLIG,Trey Gowdy,majority,11,,02058,G000566,
HLIG,Elise M. Stefanik,majority,12,,02263,S001196,
HLIG,Will Hurd,majority,13,,02269,H001073,
HLIG,Adam B. Schiff,minority,1,Ranking Member,01635,S001150,
HLIG,James A. Himes,minority,2,,01913,H001047,
HLIG,Terri A. Sewell,minority,3,,01988,S001185,
HLIG,André Carson,minority,4,,01889,C001072,
HLIG,Jackie Speier,minority,5,,01890,S001175,
HLIG,Mike Quigley,minority,6,,01967,Q000023,
HLIG,Eric Swalwell,minority,7,,02104,S001193,
HLIG,Joaquin Castro,minority,8,,02163,C001091,
HLIG,Denny Heck,minority,9,,02170,H001064,
HLIG01,Frank A. LoBiondo,majority,1,Chair,00699,L000554,
HLIG01,K. Michael Conaway,majority,2,,01805,C001062,
HLIG01,Peter T. King,majority,3,,00635,K000210,
HLIG01,Thomas J. Rooney,majority,4,,01916,R000583,
HLIG01,Ileana Ros-Lehtinen,majority,5,,00985,R000435,
HLIG01,Chris Stewart,majority,6,,02168,S001192,
HLIG01,Eric Swalwell,minority,1,Ranking Member,02104,S001193,
HLIG01,James A. Himes,minority,2,,01913,H001047,
HLIG01,Joaquin Castro,minority,3,,02163,C001091,
HLIG01,Denny Heck,minority,4,,02170,H001064,
HLIG02,Thomas J. Rooney,majority,1,Chair,01916,R000583,
HLIG02,K. Michael Conaway,majority,2,,01805,C001062,
HLIG02,Ileana Ros-Lehtinen,majority,3,,00985,R000435,
HLIG02,Michael R. Turner,majority,4,,01741,T000463,
HLIG02,Trey Gowdy,majority,5,,02058,G000566,
HLIG02,Elise M. Stefanik,majority,6,,02263,S001196,
HLIG02,James A. Himes,minority,1,Ranking Member,01913,H001047,
HLIG02,Terri A. Sewell,minority,2,,01988,S001185,
HLIG02,Jackie Speier,minority,3,,01890,S001175,
HLIG02,Mike Quigley,minority,4,,01967,Q000023,
HLIG03,Peter T. King,majority,1,Chair,00635,K000210,
HLIG03,Frank A. LoBiondo,majority,2,,00699,L000554,
HLIG03,Brad R. Wenstrup,majority,3,,02152,W000815,
HLIG03,"Eric A. ""Rick"" Crawford",majority,4,,01989,C001087,
HLIG03,Trey Gowdy,majority,5,,02058,G000566,
HLIG03,Will Hurd,majority,6,,02269,H001073,
HLIG03,André Carson,minority,1,Ranking Member,01889,C001072,
HLIG03,Jackie Speier,minority,2,,01890,S001175,
HLIG03,Mike Quigley,minority,3,,01967,Q000023,
HLIG03,Eric Swalwell,minority,4,,02104,S001193,
HLIG04,Chris Stewart,majority,1,Chair,02168,S001192,
HLIG04,Michael R. Turner,majority,2,,01741,T000463,
HLIG04,Brad R. Wenstrup,majority,3,,02152,W000815,
