id__bioguide,id__thomas,id__lis,id__govtrack,id__opensecrets,id__votesmart,id__icpsr,id__wikidata,id__google_entity_id,id__fec__-,id__wikipedia,id__house_history,id__icpsr_prez,name__first,name__middle,name__last,name__nickname,name__suffix,bio__birthday,bio__gender,bio__religion,terms__type,terms__start,terms__end,terms__party,terms__how
W000178,,,411351,,,,,,,,,99869,George,,Washington,,,1732-02-22,M,,prez,1789-04-30,1793-03-04,no party,election
W000178,,,411351,,,,,,,,,99869,George,,Washington,,,1732-02-22,M,,prez,1793-03-04,1797-03-04,no party,election
A000039,,,400699,,,,,,,,,99870,John,,Adams,,,1735-10-19,M,,viceprez,1789-04-21,1793-03-04,Federalist,election
A000039,,,400699,,,,,,,,,99870,John,,Adams,,,1735-10-19,M,,viceprez,1793-03-04,1797-03-04,Federalist,election
A000039,,,400699,,,,,,,,,99870,John,,Adams,,,1735-10-19,M,,prez,1797-03-04,1801-03-04,Federalist,election
J000069,,,405974,,,,,,,,,99871,Thomas,,Jefferson,,,1743-04-13,M,,viceprez,1797-03-04,1801-03-04,Democratic-Republican,election
J000069,,,405974,,,,,,,,,99871,Thomas,,Jefferson,,,1743-04-13,M,,prez,1801-03-04,1805-03-04,Democratic-Republican,election
J000069,,,405974,,,,,,,,,99871,Thomas,,Jefferson,,,1743-04-13,M,,prez,1805-03-04,1809-03-04,Democratic-Republican,election
B001133,,,402077,,,1302,,,,,,,Aaron,,Burr,,Jr.,1756-02-06,M,,viceprez,1801-03-04,1805-03-04,Democratic-Republican,election
C000527,,,412587,,,,,,,,,,George,,Clinton,,,1739-07-26,M,,viceprez,1805-03-04,1809-03-04,Democratic-Republican,election
C000527,,,412587,,,,,,,,,,George,,Clinton,,,1739-07-26,M,,viceprez,1809-03-04,1812-04-20,Democratic-Republican,election
G000139,,,404507,,,3541,,,,,,,Elbridge,,Gerry,,,1744-07-17,M,,viceprez,1813-03-04,1814-11-23,Democratic-Republican,election
M000043,,,407071,,,5903,,,,,,99872,James,,Madison,,,1751-03-16,M,,prez,1809-03-04,1813-03-04,Democratic-Republican,election
M000043,,,407071,,,5903,,,,,,99872,James,,Madison,,,1751-03-16,M,,prez,1813-03-04,1817-03-04,Democratic-Republican,election
T000306,,,412588,,,,,,,,,,Daniel,D.,Tompkins,,,1774-06-21,M,,viceprez,1817-03-04,1821-03-05,Democratic-Republican,election
T000306,,,412588,,,,,,,,,,Daniel,D.,Tompkins,,,1774-06-21,M,,viceprez,1821-03-05,1825-03-04,Democratic-Republican,election
M000858,,,407829,,,6594,,,,,,99873,James,,Monroe,,,1758-04-28,M,,prez,1817-03-04,1821-03-05,Democratic-Republican,election
M000858,,,407829,,,6594,,,,,,99873,James,,Monroe,,,1758-04-28,M,,prez,1821-03-05,1825-03-04,Democratic-Republican,election
A000041,,,400702,,,34,,,,,,99874,John,Quincy,Adams,,,1767-07-11,M,,prez,1825-03-04,1829-03-04,Democratic-Republican,election
C000044,,,402205,,,1418,,,,,,,John,Caldwell,Calhoun,,,1782-03-18,M,,viceprez,1825-03-04,1829-03-04,Democratic-Republican,election
