id__bioguide,id__thomas,id__govtrack,social__twitter,social__facebook,social__youtube,social__youtube_id,social__twitter_id,social__instagram,social__instagram_id
R000600,02222,412664,RepAmata,aumuaamata,,UCGdrLQbt1PYDTPsampx4t1A,3026622545,,
Y000064,02019,412428,SenToddYoung,SenatorToddYoung,RepToddYoung,UCuknj4PGn91gHDNAfboZEgQ,234128524,sentoddyoung,
E000295,02283,412667,SenJoniErnst,senjoniernst,,UCLwrmtF_84FIcK3TyMs4MIw,2856787757,senjoniernst,1582702853
T000476,02291,412668,senthomtillis,SenatorThomTillis,,UCUD9VGV4SSGWjGdbn37Ea2w,2964174789,senthomtillis,
Y000063,02021,412430,RepKevinYoder,CongressmanKevinYoder,RepYoder,UCCeYmn4A8kZEHCcAfeUW9lQ,252819642,repkevinyoder,
Y000062,01853,412211,RepJohnYarmuth,214258646163,RepJohnYarmuth,UCy5KW4yrEfEiyZRX45Eoxkg,384913290,,
Y000033,01256,400440,RepDonYoung,RepDonYoung,RepDonYoung,UCg5ZIR5-82EbJiNeI1bqT-A,37007274,,
W000809,01991,412402,Rep_SteveWomack,RepSteveWomack,CongressmanWomack,UCXJbUDLYX-wGIhRuN66hqZw,234469322,,
W000808,02004,412412,RepWilson,RepWilson,repfredericawilson,UCP5QBhng_lHv-vJgE_h7lpA,234014087,,
W000806,02002,412410,RepWebster,RepWebster,repdanwebster,UCCoX4VdU7U11eGEA0lbRtLw,281540744,,
W000805,01897,412321,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,7429102,senatorwarner,515327940
W000804,01886,412255,RobWittman,RepRobWittman,RobWittman,UCIqIb-OaTbkIdU426eYIdPg,15356407,reprobwittman,
W000802,01823,412247,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,242555999,SenWhitehouse,
W000800,01879,412239,PeterWelch,PeterWelch,reppeterwelch,UC0YfApJx6qNaAQ-ir93U8xA,1410590874,reppeterwelch,1559860900
W000798,01855,412213,RepWalberg,RepWalberg,RepWalberg,UChpf3_3Wn8f3qSJbsYXrhvg,237862972,repwalberg,
W000797,01777,400623,RepDWStweets,RepDWS,RepWassermanSchultz,UCfHQiJVvMlYbVAxrMSLdO4w,1140648348,RepDWSTweets,
W000795,01688,400433,RepJoeWilson,JoeWilson,RepJoeWilson,UC3aR1B8m7Z1uycO65yDnpCg,254082173,repjoewilson,519685522
W000791,01596,400419,RepGregWalden,repgregwalden,RepGregWalden,UCyaDp6ANSM9tvW7Y3LT_4KQ,32010840,repgregwalden,382962594
